trade_id,symbol,dir,ts_open_utc,ts_close_utc,entry,sl,tp,lots,exit_reason,gross_pnl,commission,swap,net_pnl,r_multiple,bias_ema,rvol,or_width,stop_arm,exit_arm
1,US100.cash,long,1753883140,1753883440,23378.38,23348.57,23408.19,3.35,sl_hit,-99.86,0.0,0.0,-99.86,-1.0,22249.264979161646,1.000109998900011,58.29999999999927,2,0
2,US100.cash,long,1754315140,1754315980,23091.38,23051.52,23131.24,2.48,tp_hit,98.85,0.0,0.0,98.85,1.0,22352.039377414334,1.0221588415971918,107.30000000000291,2,0
3,US100.cash,long,1754401540,1754402440,23253.08,23213.83,23292.33,2.54,sl_hit,-99.7,0.0,0.0,-99.7,-1.0,22386.424499868674,1.023694602896007,58.29999999999927,2,0
4,US100.cash,long,1754488120,1754488300,23124.85,23076.98,23172.72,2.06,sl_hit,-98.61,0.0,0.0,-98.61,-1.0,22410.025892030688,1.0614304519526108,78.0,2,0
5,US100.cash,long,1754575060,1754575700,23544.05,23506.27,23581.83,2.59,sl_hit,-97.85,0.0,0.0,-97.85,-1.0,22444.886053127524,1.0524352786309785,64.0,2,0
6,US100.cash,long,1754660740,1754662000,23519.57,23487.65,23551.49,3.03,tp_hit,96.72,0.0,0.0,96.72,1.000000000000114,22482.418364769583,1.0122457905095124,83.20000000000073,2,0
7,US100.cash,long,1754920720,1754928460,23637.55,23606.13,23668.98,3.11,tp_hit,97.75,0.0,0.0,97.75,1.000318268618779,22528.05137007274,1.0144486692015209,57.0,2,0
8,US100.cash,long,1755011440,1755015760,23715.67,23656.7,23774.64,1.67,tp_hit,98.48,0.0,0.0,98.48,1.0000000000000617,22567.08308105028,1.6231696813092162,96.20000000000073,2,0
9,US100.cash,long,1755179120,1755182380,23835.26,23784.8,23885.72,1.98,tp_hit,99.91,0.0,0.0,99.91,1.0000000000000722,22664.258161323236,1.628709159078736,82.09999999999854,2,0
10,US100.cash,long,1755527140,1755527320,23734.67,23704.4,23764.94,3.33,sl_hit,-100.8,0.0,0.0,-100.8,-1.0,22747.19832577358,1.5269330565646082,49.20000000000073,2,0
11,US100.cash,long,1755785600,1755789100,23220.37,23169.8,23270.94,1.97,sl_hit,-99.62,0.0,0.0,-99.62,-1.0,22825.187536836784,1.26645399597045,90.19999999999709,2,0
12,US100.cash,long,1755870340,1755870400,23259.14,23221.51,23296.77,2.62,sl_hit,-98.59,0.0,0.0,-98.59,-1.0,22837.80214323534,1.011030703295159,115.89999999999782,2,0
13,US100.cash,long,1756130420,1756131280,23455.63,23423.83,23487.43,3.08,tp_hit,97.94,0.0,0.0,97.94,1.0,22864.020098402583,1.0525374776509422,72.79999999999927,2,0
14,US100.cash,long,1756217440,1756217500,23456.8,23427.25,23486.35,3.34,sl_hit,-98.7,0.0,0.0,-98.7,-1.0,22886.249114151502,1.0169353193225872,54.5,2,0
15,US100.cash,long,1756394260,1756394560,23693.82,23652.71,23734.93,2.38,sl_hit,-97.84,0.0,0.0,-97.84,-1.0,22933.480093455502,1.063915857605178,111.70000000000073,2,0
16,US100.cash,long,1758204220,1758205180,24473.85,24424.8,24522.9,1.97,tp_hit,96.63,0.0,0.0,96.63,1.0000000000000742,23344.58020179342,1.0185592953759044,88.0,2,0
17,US100.cash,long,1758895240,1758895540,24493.93,24436.49,24551.37,1.7,sl_hit,-97.65,0.0,0.0,-97.65,-1.0,23602.58847988046,1.0460440985732815,114.79999999999927,2,0
18,US100.cash,long,1759244140,1759245580,24615.55,24578.67,24652.43,2.62,sl_hit,-96.63,0.0,0.0,-96.63,-1.0,23675.078331485198,1.0180434782608696,89.0,2,0
