trade_id,symbol,dir,ts_open_utc,ts_close_utc,entry,sl,tp,lots,exit_reason,gross_pnl,commission,swap,net_pnl,r_multiple,bias_ema,rvol,or_width,stop_arm,exit_arm
1,US100.cash,short,1745422060,1745423320,18786.27,18862.22,18710.32,1.31,tp_hit,99.49,0.0,0.0,99.49,1.0,19513.1376028476,1.00664384940608,191.79999999999927,2,0
2,US100.cash,long,1746023440,1746026260,19217.81,19126.26,19309.36,1.1,tp_hit,100.71,0.0,0.0,100.71,0.9999999999999603,19468.26480000839,1.0226299694189602,167.59999999999854,2,0
3,US100.cash,long,1746109720,1746111340,19899.04,19843.95,19954.13,1.85,tp_hit,101.92,0.0,0.0,101.92,1.0,19479.29206275316,1.0218144750254843,99.89999999999782,2,0
4,US100.cash,long,1746194620,1746200980,20038.67,19974.33,20103.01,1.6,tp_hit,102.94,0.0,0.0,102.94,1.0000000000000566,19487.89864852755,1.0048929663608563,90.20000000000073,2,0
5,US100.cash,long,1748009560,1748030400,20905.79,20783.85,21027.73,0.85,forced_eod,13.06,0.0,0.0,13.06,0.12604559619483915,20086.201849146695,1.0413032054650553,129.39999999999782,2,0
6,US100.cash,long,1748959060,1748959720,21563.25,21518.7,21607.8,2.33,sl_hit,-103.8,0.0,0.0,-103.8,-1.0,20386.53407199712,1.013304949441192,84.0,2,0
7,US100.cash,long,1749134560,1749136720,21811.39,21749.81,21872.97,1.67,tp_hit,102.84,0.0,0.0,102.84,1.000000000000059,20486.436642393342,1.0531721407938377,103.39999999999782,2,0
8,US100.cash,long,1749217600,1749218200,21826.47,21773.49,21879.45,1.96,sl_hit,-103.84,0.0,0.0,-103.84,-1.0,20526.763048573994,1.0328447630255697,83.20000000000073,2,0
9,US100.cash,long,1749478180,1749478660,21790.63,21757.05,21824.21,3.07,tp_hit,103.09,0.0,0.0,103.09,0.9999999999998916,20575.668811375017,1.009145044661846,61.79999999999927,2,0
10,US100.cash,long,1749651820,1749658020,22005.41,21944.08,22066.74,1.69,sl_hit,-103.65,0.0,0.0,-103.65,-1.0,20674.170017728346,1.004962517157639,63.599999999998545,2,0
11,US100.cash,long,1749736180,1749739280,21868.06,21811.44,21924.69,1.8199999999999998,tp_hit,103.07,0.0,0.0,103.07,1.0001766160366437,20720.59315428802,1.0027356902356903,64.10000000000218,2,0
12,US100.cash,long,1750947740,1750953280,22353.8,22316.25,22391.35,2.77,tp_hit,104.01,0.0,0.0,104.01,1.0,21091.448329189465,1.0044833475661827,70.5,2,0
