trade_id,symbol,dir,ts_open_utc,ts_close_utc,entry,sl,tp,lots,exit_reason,gross_pnl,commission,swap,net_pnl,r_multiple,bias_ema,rvol,or_width,stop_arm,exit_arm
1,US100.cash,short,1666620160,1666626760,11246.38,11353.3,11139.46,0.93,sl_hit,-99.44,0.0,0.0,-99.44,-1.0,11691.521468685032,1.0137938081128026,97.19999999999891,0,0
2,US100.cash,short,1666878520,1666888220,11312.4,11416.9,11207.9,0.94,tp_hit,98.23,0.0,0.0,98.23,1.0,11665.522582335041,1.0201979398101393,95.0,0,0
3,US100.cash,short,1667832580,1667848540,10819.15,10933.0,10705.3,0.87,sl_hit,-99.05,0.0,0.0,-99.05,-1.0,11526.146293217353,1.0004039587962028,103.5,0,0
4,US100.cash,short,1669824280,1669833040,11492.52,11559.4,11425.64,1.48,sl_hit,-98.98,0.0,0.0,-98.98,-1.0,11567.965517737706,1.0156589821661592,60.79999999999927,0,0
5,US100.cash,long,1669905940,1669907560,12088.36,12010.7,12166.02,1.26,sl_hit,-97.85,0.0,0.0,-97.85,-1.0,11586.668830767601,1.0052298975811724,70.59999999999854,0,0
6,US100.cash,long,1669993960,1670011420,11903.54,11826.1,11980.98,1.25,tp_hit,96.8,0.0,0.0,96.8,0.9999999999999765,11603.81122956103,1.0584365749369586,70.39999999999964,0,0
7,US100.cash,short,1670424460,1670446800,11473.23,11581.8,11364.66,0.9,forced_eod,-20.04,0.0,0.0,-20.04,-0.20512112001474161,11622.161845343237,1.073620996441281,98.69999999999891,0,0
8,US100.cash,short,1670510720,1670511400,11467.89,11559.3,11376.48,1.06,sl_hit,-96.89,0.0,0.0,-96.89,-1.0,11616.877067094481,1.0137900355871887,83.09999999999854,0,0
9,US100.cash,long,1670597140,1670619600,11642.53,11541.0,11744.06,0.95,forced_eod,-76.31,0.0,0.0,-76.31,-0.7911947207721798,11617.336789953522,1.1018683274021353,92.29999999999927,0,0
10,US100.cash,short,1670860180,1670861200,11533.18,11591.7,11474.66,1.6400000000000001,sl_hit,-95.97,0.0,0.0,-95.97,-1.0,11614.802013876913,1.0645874806458748,53.20000000000073,0,0
11,US100.cash,long,1671029860,1671044440,11887.01,11806.6,11967.42,1.18,sl_hit,-94.88,0.0,0.0,-94.88,-1.0,11626.012085858696,1.0315675675675675,73.10000000000036,0,0
12,US100.cash,short,1671547540,1671548260,10972.39,11046.2,10898.58,1.27,sl_hit,-93.74,0.0,0.0,-93.74,-1.0,11583.58097794438,1.031246689969283,67.10000000000036,0,0
13,US100.cash,short,1672411720,1672415260,10792.47,10859.9,10725.04,1.38,sl_hit,-93.05,0.0,0.0,-93.05,-1.0,11428.91916990968,1.0118734895450248,61.29999999999927,0,0
1,US100.cash,long,1674485260,1674487420,11698.08,11611.4,11784.76,1.15,tp_hit,99.68,0.0,0.0,99.68,1.0,11361.593151146657,1.0045690550363449,78.80000000000109,0,0
2,US100.cash,long,1674571600,1674572780,11846.62,11779.3,11913.94,1.5,sl_hit,-100.98,0.0,0.0,-100.98,-1.0,11381.695380513456,1.0,61.20000000000073,0,0
3,US100.cash,long,1674663580,1674670900,11671.35,11598.2,11744.5,1.3599999999999999,tp_hit,99.48,0.0,0.0,99.48,1.0,11402.507326375675,1.003224799750338,66.5,0,0
4,US100.cash,long,1675176580,1675194740,11989.68,11915.1,12064.26,1.35,tp_hit,100.68,0.0,0.0,100.68,1.0,11487.657942017955,1.0259414225941423,67.79999999999927,0,0
5,US100.cash,long,1675349320,1675349980,12689.03,12619.4,12758.66,1.46,sl_hit,-101.66,0.0,0.0,-101.66,-1.0,11547.327765776667,1.0299163179916317,63.30000000000109,0,0
6,US100.cash,long,1676042260,1676044420,12356.74,12268.3,12445.18,1.1400000000000001,sl_hit,-100.82,0.0,0.0,-100.82,-1.0,11759.17889702405,1.015461243125454,80.40000000000146,0,0
7,US100.cash,long,1676299600,1676304880,12393.15,12309.0,12477.3,1.18,tp_hit,99.3,0.0,0.0,99.3,1.0,11780.211097140755,1.036837189996887,76.5,0,0
8,US100.cash,long,1676385940,1676387500,12478.58,12347.9,12609.26,0.77,tp_hit,100.62,0.0,0.0,100.62,1.0,11808.591054115628,1.0819264629725531,118.80000000000109,0,0
9,US100.cash,long,1676472580,1676472880,12577.79,12505.3,12650.28,1.4,sl_hit,-101.49,0.0,0.0,-101.49,-1.0,11838.818855915017,1.0150113098910138,65.90000000000146,0,0
10,US100.cash,long,1676558900,1676562200,12528.72,12451.5,12605.94,1.3,tp_hit,100.39,0.0,0.0,100.39,1.0000000000000235,11872.61811646737,1.0037766663264265,70.20000000000073,0,0
11,US100.cash,long,1678373140,1678384120,12282.26,12215.6,12348.92,1.52,sl_hit,-101.32,0.0,0.0,-101.32,-1.0,12002.79787852802,1.024395580352259,60.600000000000364,0,0
12,US100.cash,long,1679924800,1679927440,12821.0,12758.3,12883.7,1.6,sl_hit,-100.32,0.0,0.0,-100.32,-1.0,12169.13595014912,1.4745897721841643,57.0,0,0
13,US100.cash,long,1680097720,1680100480,12802.33,12761.3,12843.36,2.43,sl_hit,-99.7,0.0,0.0,-99.7,-1.0,12206.78239765784,1.395571132706707,37.30000000000109,0,0
14,US100.cash,long,1680184780,1680185560,12956.52,12913.4,12999.64,2.29,sl_hit,-98.74,0.0,0.0,-98.74,-1.0,12231.622303632043,1.3812330731241038,39.20000000000073,0,0
15,US100.cash,long,1680270460,1680278200,13024.62,12961.7,13087.54,1.55,tp_hit,97.53,0.0,0.0,97.53,1.0,12260.586134862158,1.391110403058786,57.19999999999891,0,0
1,US100.cash,long,1682517580,1682518720,12879.63,12835.18,12924.08,2.24,sl_hit,-99.57,0.0,0.0,-99.57,-1.0,12652.721289313551,1.0486262538159616,57.29999999999927,2,0
2,US100.cash,long,1682603620,1682604080,12973.9,12939.54,13008.26,2.88,sl_hit,-98.96,0.0,0.0,-98.96,-1.0,12661.779277967922,1.0431662498640861,39.0,2,0
3,US100.cash,long,1682690980,1682691880,13175.22,13144.68,13205.76,3.2,tp_hit,97.73,0.0,0.0,97.73,1.0000000000000595,12682.831070988788,1.0077821011673151,71.20000000000073,2,0
4,US100.cash,long,1683212980,1683215380,13020.92,12987.91,13053.93,2.99,sl_hit,-98.7,0.0,0.0,-98.7,-1.0,12750.343390398488,1.0401217788409265,50.19999999999891,2,0
5,US100.cash,long,1683818920,1683827260,13376.14,13343.7,13408.58,3.02,sl_hit,-97.97,0.0,0.0,-97.97,-1.0,12834.363308260348,1.0024712581927582,55.399999999999636,2,0
6,US100.cash,long,1684763380,1684764400,13876.39,13852.48,13900.3,4.05,sl_hit,-96.84,0.0,0.0,-96.84,-1.0,13010.521689252599,1.03946637020567,75.89999999999964,2,0
7,US100.cash,long,1685108920,1685109640,14056.98,14018.69,14095.27,2.5,tp_hit,95.73,0.0,0.0,95.73,1.0000000000000475,13129.861068802697,1.0505836575875487,73.80000000000109,2,0
