trade_id,symbol,dir,ts_open_utc,ts_close_utc,entry,sl,tp,lots,exit_reason,gross_pnl,commission,swap,net_pnl,r_multiple,bias_ema,rvol,or_width,stop_arm,exit_arm
1,US100.cash,long,1690465580,1690466200,15792.95,15763.78,15822.13,3.42,sl_hit,-99.76,0.0,0.0,-99.76,-1.0,14842.63662311453,1.0080052637350587,71.5,2,0
2,US100.cash,long,1690552180,1690557100,15702.18,15665.58,15738.78,2.7,tp_hit,98.82,0.0,0.0,98.82,1.0,14867.772441815921,1.0356398727930693,78.79999999999927,2,0
3,US100.cash,long,1691070460,1691071300,15332.42,15289.27,15375.57,2.31,tp_hit,99.68,0.0,0.0,99.68,1.0,14981.542297878936,1.0287343715727133,66.19999999999891,2,0
4,US100.cash,long,1691675200,1691675980,15290.59,15238.52,15342.66,1.9300000000000002,tp_hit,100.5,0.0,0.0,100.5,1.0,15036.639192163897,1.0427350427350428,81.89999999999964,2,0
5,US100.cash,short,1692280420,1692281560,14869.92,14898.38,14841.46,3.58,tp_hit,101.89,0.0,0.0,101.89,1.000000000000064,15040.480218397859,1.0004337453914551,66.79999999999927,2,0
6,US100.cash,short,1692367400,1692367940,14559.97,14597.3,14522.64,2.75,sl_hit,-102.66,0.0,0.0,-102.66,-1.0,15026.492758852846,1.0687072614783457,50.29999999999927,2,0
7,US100.cash,short,1692631000,1692631880,14745.42,14773.92,14716.92,3.57,sl_hit,-101.75,0.0,0.0,-101.75,-1.0,15013.340101642932,1.0163508391987006,77.79999999999927,2,0
8,US100.cash,short,1693230700,1693231120,14986.95,15021.46,14952.44,2.92,sl_hit,-100.77,0.0,0.0,-100.77,-1.0,15004.30069800217,1.0366423833858867,92.5,2,0
9,US100.cash,long,1693403680,1693404200,15414.5,15382.66,15446.34,3.13,tp_hit,99.66,0.0,0.0,99.66,1.0,15021.253354826302,1.022260831794983,60.0,2,0
10,US100.cash,long,1693923940,1693926280,15486.83,15448.37,15525.29,2.62,tp_hit,100.77,0.0,0.0,100.77,1.0000000000000473,15090.69413895552,1.0254126846220677,55.29999999999927,2,0
11,US100.cash,long,1694097640,1694102140,15228.25,15187.76,15268.74,2.51,sl_hit,-101.63,0.0,0.0,-101.63,-1.0,15116.372713430299,1.0341007819287575,85.5,2,0
12,US100.cash,long,1694616040,1694626960,15363.89,15314.38,15413.4,2.03,tp_hit,100.51,0.0,0.0,100.51,1.0,15148.571402410025,1.0254126846220677,69.89999999999964,2,0
13,US100.cash,long,1694702500,1694704060,15437.85,15396.55,15479.15,2.46,tp_hit,101.6,0.0,0.0,101.6,0.9999999999999559,15157.266641531201,1.0161777394305436,55.5,2,0
14,US100.cash,short,1695304000,1695304900,14790.42,14823.43,14757.41,3.11,tp_hit,102.66,0.0,0.0,102.66,1.0,15166.347403788486,1.0250973604500215,44.80000000000109,2,0
15,US100.cash,short,1695823360,1695824120,14583.53,14618.8,14548.26,2.94,tp_hit,103.69,0.0,0.0,103.69,1.0000000000000515,15094.640181734036,1.0031511463653155,45.69999999999891,2,0
16,US100.cash,short,1695997540,1695997960,14818.74,14852.81,14784.67,3.08,sl_hit,-104.94,0.0,0.0,-104.94,-1.0,15061.82694207744,1.0006487889273357,36.600000000000364,2,0
