trade_id,symbol,dir,ts_open_utc,ts_close_utc,entry,sl,tp,lots,exit_reason,gross_pnl,commission,swap,net_pnl,r_multiple,swept_level,sweep_side,target_mode,fill_depth
1,US100.cash,long,1743517700,1743519100,19134.25,19078.79,19299.35,1.8,tp_hit,297.18,0.0,0.0,297.18,2.976920302921045,19104.75,-1,DOL,0.0
2,US100.cash,long,1743686240,1743686260,18691.35,18650.6,18704.65,2.52,tp_hit,33.52,0.0,0.0,33.52,0.32638036809823096,0.0,0,DOL,0.0
3,US100.cash,long,1743772360,1743772420,18050.95,18045.14,18365.05,17.76,sl_hit,-103.19,0.0,0.0,-103.19,-1.0,18365.05,-1,DOL,0.0
4,US100.cash,short,1744034200,1744034260,17025.15,17032.77,16884.45,13.42,sl_hit,-102.26,0.0,0.0,-102.26,-1.0,16884.45,1,DOL,0.0
5,US100.cash,short,1744118740,1744118759,17972.05,18010.68,17753.05,2.62,sl_hit,-101.21,0.0,0.0,-101.21,-1.0,0.0,0,DOL,0.0
6,US100.cash,short,1744206700,1744207240,17310.35,17430.67,17291.45,0.83,sl_hit,-99.87,0.0,0.0,-99.87,-1.0,17291.45,1,DOL,0.0
7,US100.cash,long,1744293020,1744293520,18608.55,18524.17,19186.79,1.17,sl_hit,-98.72,0.0,0.0,-98.72,-1.0,18558.55,-1,DOL,0.0
8,US100.cash,short,1744636060,1744636240,19056.45,19067.69,19045.05,8.73,tp_hit,99.52,0.0,0.0,99.52,1.0142348754451531,19045.05,1,DOL,0.0
9,US100.cash,long,1744813000,1744824700,18409.35,18372.7,18723.85,2.7,sl_hit,-98.96,0.0,0.0,-98.96,-1.0,18377.25,-1,DOL,0.0
10,US100.cash,long,1744901560,1744902400,18194.85,18138.19,18249.65,1.73,tp_hit,94.8,0.0,0.0,94.8,0.9671726085422353,18249.65,-1,DOL,0.0
11,US100.cash,long,1745242600,1745242640,17997.15,17978.16,18033.75,5.22,sl_hit,-99.13,0.0,0.0,-99.13,-1.0,18033.75,-1,DOL,0.0
12,US100.cash,short,1745330080,1745330380,18104.05,18138.01,18057.55,2.89,sl_hit,-98.14,0.0,0.0,-98.14,-1.0,18057.55,1,DOL,0.0
13,US100.cash,short,1745413360,1745415040,18850.25,18858.88,18745.95,11.26,sl_hit,-97.17,0.0,0.0,-97.17,-1.0,18745.95,1,DOL,0.0
14,US100.cash,short,1745503940,1745504440,18961.15,18996.6,18761.95,2.71,sl_hit,-96.07,0.0,0.0,-96.07,-1.0,18761.95,1,DOL,0.0
15,US100.cash,long,1745589160,1745590180,19136.05,19103.49,19251.05,2.92,tp_hit,335.8,0.0,0.0,335.8,3.5319410319412845,19251.05,-1,DOL,0.0
16,US100.cash,long,1745932180,1745932280,19308.05,19280.02,19393.45,3.51,sl_hit,-98.39,0.0,0.0,-98.39,-1.0,19393.45,-1,DOL,0.0
17,US100.cash,long,1746019660,1746020260,19187.95,19126.75,19381.55,1.5899999999999999,sl_hit,-97.31,0.0,0.0,-97.31,-1.0,19381.55,-1,DOL,0.0
18,US100.cash,short,1746106220,1746106820,19876.95,19892.09,19800.95,6.38,tp_hit,484.88,0.0,0.0,484.88,5.019815059445372,19886.45,1,DOL,0.0
19,US100.cash,short,1746192820,1746195040,20029.05,20048.63,19892.65,5.18,sl_hit,-101.42,0.0,0.0,-101.42,-1.0,19892.65,1,DOL,0.0
20,US100.cash,long,1746538240,1746538360,19702.25,19695.09,19744.35,14.05,tp_hit,591.51,0.0,0.0,591.51,5.879888268156341,19744.35,-1,DOL,0.0
21,US100.cash,long,1746623920,1746624640,19812.25,19792.63,19866.85,5.42,sl_hit,-106.34,0.0,0.0,-106.34,-1.0,19866.85,-1,DOL,0.0
22,US100.cash,short,1746797440,1746797500,20158.05,20177.4,20151.25,5.44,tp_hit,36.99,0.0,0.0,36.99,0.3514211886304137,20151.25,1,DOL,0.0
23,US100.cash,short,1747055060,1747079980,20845.95,20862.27,20367.45,6.47,sl_hit,-105.59,0.0,0.0,-105.59,-1.0,20851.75,1,DOL,0.0
24,US100.cash,short,1747142380,1747142500,20930.35,20940.36,20827.25,10.45,sl_hit,-104.6,0.0,0.0,-104.6,-1.0,20827.25,1,DOL,0.0
25,US100.cash,short,1747322860,1747323640,21306.65,21340.93,21115.55,3.02,sl_hit,-103.53,0.0,0.0,-103.53,-1.0,21328.85,1,DOL,0.0
26,US100.cash,short,1747402120,1747402139,21384.15,21398.29,21267.45,7.25,sl_hit,-102.52,0.0,0.0,-102.52,-1.0,0.0,0,DOL,0.0
27,US100.cash,long,1747749400,1747765720,21331.25,21275.82,21484.95,1.83,sl_hit,-101.44,0.0,0.0,-101.44,-1.0,21316.75,-1,DOL,0.0
28,US100.cash,long,1747834060,1747834240,21206.45,21187.73,21212.65,5.37,tp_hit,33.29,0.0,0.0,33.29,0.33119658119659945,21212.65,-1,DOL,0.0
29,US100.cash,long,1747921120,1747921960,21072.75,21038.61,21155.05,2.95,tp_hit,242.79,0.0,0.0,242.79,2.410661980082035,21065.15,-1,DOL,0.0
30,US100.cash,long,1748006020,1748006360,20720.85,20701.26,21033.65,5.27,sl_hit,-103.24,0.0,0.0,-103.24,-1.0,21033.65,-1,DOL,0.0
31,US100.cash,short,1748355460,1748355520,21301.35,21314.28,21086.95,7.91,sl_hit,-102.28,0.0,0.0,-102.28,-1.0,21304.15,1,DOL,0.0
32,US100.cash,short,1748438320,1748439040,21456.55,21463.58,21427.25,14.39,sl_hit,-101.16,0.0,0.0,-101.16,-1.0,21427.25,1,DOL,0.0
33,US100.cash,long,1748525440,1748525500,21597.55,21586.16,21657.15,8.8,sl_hit,-100.23,0.0,0.0,-100.23,-1.0,21657.15,-1,DOL,0.0
34,US100.cash,long,1748613340,1748613400,21211.95,21182.33,21216.75,3.35,tp_hit,16.08,0.0,0.0,16.08,0.16205266711679397,21216.75,-1,DOL,0.0
35,US100.cash,short,1748955760,1748955779,21490.25,21497.49,21462.15,13.72,sl_hit,-99.33,0.0,0.0,-99.33,-1.0,0.0,0,DOL,0.0
36,US100.cash,short,1749044740,1749045100,21724.25,21756.52,21709.15,3.05,tp_hit,46.06,0.0,0.0,46.06,0.46792686705913666,21709.15,1,DOL,0.0
37,US100.cash,long,1749131500,1749134560,21697.05,21651.2,21802.85,2.15,tp_hit,227.47,0.0,0.0,227.47,2.3075245365322274,21686.15,-1,DOL,0.0
38,US100.cash,short,1749215360,1749215740,21732.25,21748.62,21651.75,6.18,sl_hit,-101.17,0.0,0.0,-101.17,-1.0,21651.75,1,DOL,0.0
39,US100.cash,short,1749474640,1749474820,21778.15,21783.22,21769.35,19.77,sl_hit,-100.23,0.0,0.0,-100.23,-1.0,21769.35,1,DOL,0.0
40,US100.cash,short,1749647020,1749648820,21993.55,22016.96,21939.85,4.23,tp_hit,227.15,0.0,0.0,227.15,2.2938914993592934,21939.85,1,DOL,0.0
41,US100.cash,short,1749733780,1749735040,21814.65,21842.54,21695.65,3.63,sl_hit,-101.24,0.0,0.0,-101.24,-1.0,21836.45,1,DOL,0.0
42,US100.cash,short,1749823200,1749828160,21734.85,21778.63,21451.85,2.29,sl_hit,-100.26,0.0,0.0,-100.26,-1.0,21771.05,1,DOL,0.0
43,US100.cash,short,1750079320,1750079380,21801.25,21812.57,21775.55,8.78,sl_hit,-99.39,0.0,0.0,-99.39,-1.0,21775.55,1,DOL,0.0
44,US100.cash,short,1750173100,1750181440,21885.55,21897.54,21770.05,8.2,tp_hit,947.1,0.0,0.0,947.1,9.633027522934494,21886.35,1,DOL,0.0
45,US100.cash,short,1750257760,1750257800,21844.65,21865.74,21802.95,5.11,sl_hit,-107.77,0.0,0.0,-107.77,-1.0,21802.95,1,DOL,0.0
46,US100.cash,long,1750338740,1750339700,21531.65,21505.62,21552.25,4.1,tp_hit,84.46,0.0,0.0,84.46,0.7913945447559196,21552.25,-1,DOL,0.0
47,US100.cash,short,1750424720,1750425580,21808.05,21815.16,21721.95,15.13,sl_hit,-107.57,0.0,0.0,-107.57,-1.0,21721.95,1,DOL,0.0
48,US100.cash,short,1750687960,1750688320,21761.85,21779.31,21728.25,6.1,sl_hit,-106.51,0.0,0.0,-106.51,-1.0,21728.25,1,DOL,0.0
49,US100.cash,short,1750857220,1750858240,22281.55,22290.17,22213.05,12.23,sl_hit,-105.42,0.0,0.0,-105.42,-1.0,22213.05,1,DOL,0.0
50,US100.cash,short,1750950160,1750951000,22363.45,22378.32,22357.35,7.02,sl_hit,-104.39,0.0,0.0,-104.39,-1.0,22357.35,1,DOL,0.0
51,US100.cash,short,1751034040,1751035940,22582.15,22604.48,22541.35,4.63,tp_hit,188.9,0.0,0.0,188.9,1.827138378862802,22541.35,1,DOL,0.0
52,US100.cash,long,1751291260,1751291380,22601.05,22585.01,22683.15,6.5600000000000005,sl_hit,-105.22,0.0,0.0,-105.22,-1.0,22588.85,-1,DOL,0.0
