trade_id,symbol,dir,ts_open_utc,ts_close_utc,entry,sl,tp,lots,exit_reason,gross_pnl,commission,swap,net_pnl,r_multiple,bias_ema,rvol,or_width,stop_arm,exit_arm
1,US100.cash,long,1761141280,1761142340,25117.39,25069.17,25165.62,2.07,sl_hit,-99.82,0.0,0.0,-99.82,-1.0,24220.070274766018,1.0136112292641428,96.40000000000146,2,0
2,US100.cash,long,1761227140,1761227440,24946.27,24888.19,25004.35,1.7,tp_hit,98.74,0.0,0.0,98.74,0.9999999999999374,24246.116930657547,1.0008485362749258,92.20000000000073,2,0
3,US100.cash,long,1762267840,1762268080,25664.08,25604.64,25723.52,1.6800000000000002,tp_hit,99.86,0.0,0.0,99.86,0.9999999999999388,24673.291466848143,1.0577948389848582,118.29999999999927,2,0
4,US100.cash,long,1762354060,1762354420,25457.95,25399.66,25516.24,1.73,tp_hit,100.84,0.0,0.0,100.84,1.0,24703.090232854098,1.0230326295585412,87.0,2,0
5,US100.cash,long,1762786720,1762789780,25545.29,25497.82,25592.77,2.14,sl_hit,-101.59,0.0,0.0,-101.59,-1.0,24770.081631688052,1.3082162622392508,113.40000000000146,2,0
6,US100.cash,short,1763477260,1763477980,24542.7,24639.04,24446.36,1.04,tp_hit,100.19,0.0,0.0,100.19,1.0,24870.852681442644,1.366320669152474,184.5,2,0
7,US100.cash,long,1763650060,1763651680,25164.8,25080.66,25248.94,1.21,sl_hit,-101.81,0.0,0.0,-101.81,-1.0,24855.395189597766,1.085820593707029,93.5,2,0
8,US100.cash,short,1763736400,1763736880,24066.04,24201.43,23930.65,0.74,sl_hit,-100.19,0.0,0.0,-100.19,-1.0,24822.370280201776,1.0967432183724093,126.09999999999854,2,0
9,US100.cash,long,1764774160,1764779680,25497.68,25434.37,25560.99,1.5699999999999998,tp_hit,99.4,0.0,0.0,99.4,1.0,24912.075457416573,1.0054552439492892,83.29999999999927,2,0
10,US100.cash,long,1764946420,1764947380,25745.54,25696.83,25794.25,2.07,tp_hit,100.83,0.0,0.0,100.83,1.0,24963.89010890319,1.180186426315384,101.89999999999782,2,0
11,US100.cash,long,1765292560,1765292920,25628.31,25584.92,25671.7,2.34,sl_hit,-101.53,0.0,0.0,-101.53,-1.0,25019.037428480035,1.1961340799263633,92.59999999999854,2,0
12,US100.cash,long,1765378060,1765378420,25641.03,25594.43,25687.63,2.16,sl_hit,-100.66,0.0,0.0,-100.66,-1.0,25043.630470500426,1.1909181560174886,95.79999999999927,2,0
13,US100.cash,short,1765898740,1765899100,24935.13,25010.79,24859.47,1.32,sl_hit,-99.87,0.0,0.0,-99.87,-1.0,25103.11653894265,1.131580822112987,138.20000000000073,2,0
14,US100.cash,short,1765982800,1765983520,25032.06,25095.4,24968.72,1.56,sl_hit,-98.81,0.0,0.0,-98.81,-1.0,25102.23981192529,1.0640095024415996,149.90000000000146,2,0
