trade_id,symbol,dir,ts_open_utc,ts_close_utc,entry,sl,tp,lots,exit_reason,gross_pnl,commission,swap,net_pnl,r_multiple,bias_ema,rvol,or_width,stop_arm,exit_arm
1,US100.cash,long,1737989320,1738007440,21188.01,20976.15,21399.87,0.47,sl_hit,-99.57,0.0,0.0,-99.57,-1.0,21170.270666153956,1.0411271107427742,192.59999999999854,0,0
2,US100.cash,long,1738248400,1738249360,21554.36,21476.15,21632.57,1.26,sl_hit,-98.54,0.0,0.0,-98.54,-1.0,21191.689480534234,1.0020738282870179,71.09999999999854,0,0
3,US100.cash,long,1738335160,1738337680,21726.08,21646.55,21805.61,1.23,tp_hit,97.82,0.0,0.0,97.82,0.9999999999999543,21203.65224600348,1.0046685340802988,72.29999999999927,0,0
4,US100.cash,long,1738596340,1738609240,21213.59,21063.55,21363.63,0.65,tp_hit,97.53,0.0,0.0,97.53,1.0,21213.287059885697,1.0424317875298268,136.40000000000146,0,0
5,US100.cash,long,1738680640,1738683520,21425.47,21296.55,21554.39,0.77,tp_hit,99.27,0.0,0.0,99.27,0.9999999999999718,21223.018547733314,1.0133416071982624,117.20000000000073,0,0
6,US100.cash,short,1740494860,1740495700,21239.08,21333.35,21144.81,1.07,tp_hit,100.87,0.0,0.0,100.87,1.0000000000000386,21492.82568972297,1.0806729939603106,85.69999999999709,0,0
7,US100.cash,short,1741100380,1741109320,20200.03,20385.6,20014.46,0.54,sl_hit,-100.21,0.0,0.0,-100.21,-1.0,21372.25057486698,1.1009930276780056,168.6999999999971,0,0
8,US100.cash,short,1741186600,1741186840,20258.37,20412.7,20104.04,0.65,sl_hit,-100.31,0.0,0.0,-100.31,-1.0,21337.691728793765,1.0525218841183828,140.29999999999927,0,0
9,US100.cash,short,1741361500,1741365460,19971.18,20149.6,19792.76,0.56,tp_hit,99.92,0.0,0.0,99.92,1.0000000000000204,21261.61685537633,1.0354957160342717,162.1999999999971,0,0
10,US100.cash,short,1743085060,1743086020,19851.99,19910.05,19793.93,1.73,tp_hit,100.44,0.0,0.0,100.44,1.0000000000000626,20618.363520049752,1.024923480542195,52.779999999998836,0,0
11,US100.cash,short,1743170560,1743171280,19667.05,19746.27,19587.83,1.28,sl_hit,-101.4,0.0,0.0,-101.4,-1.0,20587.03514671447,1.1762133799737648,72.02000000000044,0,0
