trade_id,symbol,dir,ts_open_utc,ts_close_utc,entry,sl,tp,lots,exit_reason,gross_pnl,commission,swap,net_pnl,r_multiple,bias_ema,rvol,or_width,stop_arm,exit_arm
1,US100.cash,short,1697811100,1697812180,14699.63,14738.72,14660.54,2.55,tp_hit,99.68,0.0,0.0,99.68,0.9999999999999535,15018.56380237033,1.006404593639576,73.70000000000073,2,0
2,US100.cash,short,1698241600,1698242380,14518.05,14555.29,14480.81,2.71,sl_hit,-100.92,0.0,0.0,-100.92,-1.0,14976.602167982654,1.012611031911394,121.5,2,0
3,US100.cash,long,1699541980,1699542100,15355.33,15333.0,15377.66,4.47,sl_hit,-99.82,0.0,0.0,-99.82,-1.0,14899.487459944265,1.0126611957796015,53.29999999999927,2,0
4,US100.cash,long,1699890400,1699893540,15479.54,15453.48,15505.6,3.79,tp_hit,98.77,0.0,0.0,98.77,0.9999999999999302,14934.659512236132,1.0433127082341742,54.399999999999636,2,0
5,US100.cash,long,1699973140,1699995600,15797.18,15741.65,15852.71,1.8,forced_eod,25.78,0.0,0.0,25.78,0.2578786241671086,14956.449335285695,1.0466444550214185,64.80000000000109,2,0
6,US100.cash,long,1700063480,1700064400,15904.46,15867.43,15941.49,2.7,sl_hit,-99.98,0.0,0.0,-99.98,-1.0,14990.588577039198,1.044502617801047,38.600000000000364,2,0
7,US100.cash,long,1700145940,1700146540,15792.34,15763.17,15821.52,3.4,tp_hit,99.21,0.0,0.0,99.21,1.0003428179636689,15021.24392695923,1.029033793431699,29.399999999999636,2,0
8,US100.cash,long,1700232760,1700233840,15816.01,15788.4,15843.62,3.63,sl_hit,-100.22,0.0,0.0,-100.22,-1.0,15053.187302372593,1.0555359868498297,41.100000000000364,2,0
9,US100.cash,long,1700491960,1700493820,15932.95,15903.13,15962.77,3.32,sl_hit,-99.0,0.0,0.0,-99.0,-1.0,15083.019172867787,1.029272243433993,87.5,2,0
10,US100.cash,long,1701441940,1701442240,15908.6,15881.15,15936.05,3.57,sl_hit,-98.0,0.0,0.0,-98.0,-1.0,15354.153820621324,1.0277141548327988,61.0,2,0
11,US100.cash,long,1701788020,1701788440,15824.06,15788.57,15859.55,2.74,tp_hit,97.24,0.0,0.0,97.24,1.0,15396.904161211765,1.0094998283163557,63.600000000000364,2,0
12,US100.cash,long,1702047640,1702048120,16011.82,15965.97,16057.67,2.14,tp_hit,98.12,0.0,0.0,98.12,1.0,15452.237782319042,1.0279112331274307,76.20000000000073,2,0
13,US100.cash,long,1702306000,1702309720,16141.48,16111.47,16171.49,3.3,tp_hit,99.03,0.0,0.0,99.03,1.0,15476.659830071236,1.0690917410203615,78.80000000000109,2,0
14,US100.cash,long,1702392700,1702394320,16226.73,16190.43,16263.03,2.76,tp_hit,100.19,0.0,0.0,100.19,1.0000000000000502,15506.151601440992,1.0465859785339118,46.30000000000109,2,0
15,US100.cash,long,1702565140,1702565440,16648.4,16615.81,16680.99,3.1,sl_hit,-101.03,0.0,0.0,-101.03,-1.0,15579.54824877348,1.0084298078003822,51.0,2,0
16,US100.cash,long,1702911460,1702915480,16671.2,16646.79,16695.61,4.1,sl_hit,-100.08,0.0,0.0,-100.08,-1.0,15655.577295388362,1.0128162264571492,45.0,2,0
