trade_id,symbol,dir,ts_open_utc,ts_close_utc,entry,sl,tp,lots,exit_reason,gross_pnl,commission,swap,net_pnl,r_multiple,bias_ema,rvol,or_width,stop_arm,exit_arm
1,US100.cash,long,1706800120,1706802880,17245.27,17198.3,17292.24,2.12,sl_hit,-99.58,0.0,0.0,-99.58,-1.0,16617.771211364638,1.015223812769825,42.70000000000073,0,0
2,US100.cash,long,1707752440,1707755500,17975.39,17928.2,18022.58,2.09,tp_hit,98.63,0.0,0.0,98.63,1.000000000000077,16881.292635227415,1.0023132084200785,42.89999999999782,0,0
3,US100.cash,long,1707836080,1707838300,17597.46,17511.0,17683.92,1.15,tp_hit,99.43,0.0,0.0,99.43,1.0,16918.983120120458,1.0712468193384224,78.59999999999854,0,0
4,US100.cash,long,1707923980,1707926440,17753.58,17671.3,17835.86,1.22,sl_hit,-100.38,0.0,0.0,-100.38,-1.0,16946.744566390244,1.0292249047013977,74.79999999999927,0,0
5,US100.cash,long,1708527880,1708529500,17457.4,17396.9,17517.9,1.65,sl_hit,-99.83,0.0,0.0,-99.83,-1.0,17086.53941315467,1.029206919793305,55.0,0,0
6,US100.cash,long,1708613140,1708622620,17872.83,17813.1,17932.56,1.65,tp_hit,98.55,0.0,0.0,98.55,0.999999999999939,17107.306494991743,1.0195461694001349,54.30000000000291,0,0
7,US100.cash,long,1709136100,1709141980,17908.16,17859.1,17957.22,2.03,sl_hit,-99.59,0.0,0.0,-99.59,-1.0,17230.954538591668,1.007375949932946,44.60000000000218,0,0
8,US100.cash,long,1709824540,1709830600,18209.98,18142.0,18277.96,1.45,tp_hit,98.57,0.0,0.0,98.57,1.0,17405.777487224004,1.0251312409248297,61.79999999999927,0,0
9,US100.cash,long,1709909320,1709911780,18339.97,18269.9,18410.04,1.42,tp_hit,99.5,0.0,0.0,99.5,1.0,17437.61758576424,1.0514911202948731,63.69999999999709,0,0
10,US100.cash,long,1711637500,1711638820,18309.3,18257.6,18361.0,1.95,sl_hit,-100.82,0.0,0.0,-100.82,-1.0,17745.776875998952,1.2822389666307858,47.0,0,0
