trade_id,symbol,dir,ts_open_utc,ts_close_utc,entry,sl,tp,lots,exit_reason,gross_pnl,commission,swap,net_pnl,r_multiple,bias_ema,rvol,or_width,stop_arm,exit_arm
1,US100.cash,long,1769180380,1769181940,25525.88,25428.53,25623.23,1.02,tp_hit,99.3,0.0,0.0,99.3,0.9999999999999626,25321.293842876818,1.0193858964350768,88.5,0,0
2,US100.cash,long,1769439220,1769461200,25709.08,25574.33,25843.83,0.74,forced_eod,2.09,0.0,0.0,2.09,0.020927643784784483,25330.527417665962,1.0160031225604995,122.5,0,0
3,US100.cash,long,1769525620,1769547600,25891.79,25787.73,25995.85,0.97,forced_eod,51.25,0.0,0.0,51.25,0.50778397078608,25346.289087561414,1.0121816168327795,94.60000000000218,0,0
4,US100.cash,long,1770043780,1770066000,25637.16,25428.95,25845.37,0.48,forced_eod,49.98,0.0,0.0,49.98,0.5000720426492455,25423.02243162667,1.0490435229169341,189.27999999999884,0,0
5,US100.cash,short,1770217120,1770221980,25110.18,25280.15,24940.21,0.6,tp_hit,101.98,0.0,0.0,101.98,1.0,25431.055385749958,1.064962860380209,154.52000000000044,0,0
6,US100.cash,short,1770821860,1770822760,25242.48,25380.53,25104.43,0.74,tp_hit,102.16,0.0,0.0,102.16,1.0,25347.64530318922,1.0115995115995116,125.5,0,0
7,US100.cash,short,1771339840,1771353580,24517.77,24746.13,24289.41,0.45,sl_hit,-102.76,0.0,0.0,-102.76,-1.0,25270.698432849305,1.013380153780953,207.60000000000218,0,0
8,US100.cash,short,1772549920,1772556340,24451.09,24623.13,24279.05,0.59,sl_hit,-101.5,0.0,0.0,-101.5,-1.0,25161.95899971385,1.0190580237921825,156.40000000000146,0,0
9,US100.cash,short,1772724640,1772730380,24937.93,25089.73,24786.13,0.67,sl_hit,-101.71,0.0,0.0,-101.71,-1.0,25141.449118920784,1.0009065087327007,138.0,0,0
10,US100.cash,short,1773928300,1773930640,24216.19,24288.35,24144.03,1.3900000000000001,tp_hit,100.3,0.0,0.0,100.3,1.0,24996.919828799644,1.0692554390222762,65.59999999999854,0,0
11,US100.cash,short,1774276240,1774277380,24230.01,24359.15,24100.87,0.78,sl_hit,-100.73,0.0,0.0,-100.73,-1.0,24935.05809648133,1.448229146506677,117.40000000000146,0,0
12,US100.cash,short,1774361260,1774363300,24043.83,24145.25,23942.41,0.99,tp_hit,100.41,0.0,0.0,100.41,1.000000000000036,24906.281700540887,1.1161215405457712,92.20000000000073,0,0
13,US100.cash,short,1774450480,1774451680,24154.1,24244.85,24063.35,1.12,sl_hit,-101.64,0.0,0.0,-101.64,-1.0,24878.904378951047,1.1430230307722082,82.5,0,0
