trade_id,symbol,dir,ts_open_utc,ts_close_utc,entry,sl,tp,lots,exit_reason,gross_pnl,commission,swap,net_pnl,r_multiple,swept_level,sweep_side,target_mode,fill_depth
1,EURUSD,short,1719925960,1719926360,1.07331,1.07368,1.07308,2.67,tp_hit,61.41,-6.68,0.0,54.73,0.6216216216215243,1.07358,1,DOL,0.0
2,EURUSD,short,1720011820,1720011880,1.07732,1.07759,1.07636,3.71,sl_hit,-100.17,-9.28,0.0,-109.45,-1.0,1.07545,1,DOL,0.0
3,EURUSD,short,1720098400,1720098820,1.07958,1.07976,1.0795,5.39,sl_hit,-97.02,-13.48,0.0,-110.5,-1.0,1.0795,1,DOL,0.0
4,EURUSD,short,1720184800,1720184900,1.0827,1.08329,1.08244,1.67,sl_hit,-98.53,-4.18,0.0,-102.71000000000001,-1.0,1.08244,1,DOL,0.0
5,EURUSD,short,1720444540,1720444600,1.08434,1.08447,1.08429,7.45,tp_hit,37.25,-18.63,0.0,18.62,0.38461538461630435,1.08363,1,DOL,0.0
6,EURUSD,short,1720621540,1720622120,1.0827,1.08289,1.08249,5.0,sl_hit,-95.0,-12.5,0.0,-107.5,-1.0,1.08211,1,DOL,0.0
7,EURUSD,short,1720703800,1720728000,1.08943,1.08995,1.08479,1.8399999999999999,forced_eod,542.8,-4.6,0.0,538.1999999999999,5.67307692307611,1.08401,1,DOL,0.0
8,EURUSD,short,1720789720,1720789960,1.08881,1.08922,1.08871,2.4699999999999998,sl_hit,-101.27,-6.18,0.0,-107.44999999999999,-1.0,1.08745,1,DOL,0.0
9,EURUSD,short,1721050360,1721052040,1.0914,1.09167,1.09093,3.71,sl_hit,-100.17,-9.28,0.0,-109.45,-1.0,1.08956,1,DOL,0.0
10,EURUSD,long,1721141200,1721144320,1.08738,1.08713,1.08835,3.93,tp_hit,381.21,-9.83,0.0,371.38,3.8799999999983656,1.08886,-1,DOL,0.0
11,EURUSD,short,1721221480,1721222140,1.09418,1.09429,1.09069,8.97,sl_hit,-98.67,-22.43,0.0,-121.1,-1.0,1.09069,1,DOL,0.0
12,EURUSD,long,1721394580,1721395060,1.08878,1.0886,1.08907,5.62,sl_hit,-101.16,-14.05,0.0,-115.21,-1.0,1.08863,-1,DOL,0.0
13,EURUSD,long,1721653640,1721653900,1.08768,1.08751,1.0878700000000001,5.89,tp_hit,111.91,-14.73,0.0,97.17999999999999,1.1176470588242977,1.08845,-1,DOL,0.0
14,EURUSD,short,1721826820,1721827060,1.08571,1.08616,1.08537,2.21,tp_hit,75.14,-5.53,0.0,69.61,0.7555555555554678,1.08502,1,DOL,0.0
15,EURUSD,short,1721912600,1721913020,1.08487,1.08511,1.0844,4.28,tp_hit,201.16,-10.7,0.0,190.46,1.9583333333330635,1.0844,1,DOL,0.0
16,EURUSD,short,1721999380,1721999440,1.0861,1.08634,1.08606,4.27,tp_hit,17.08,-10.68,0.0,6.399999999999999,0.16666666666682087,1.08606,1,DOL,0.0
17,EURUSD,long,1722344920,1722345940,1.08046,1.08013,1.0814300000000001,3.13,tp_hit,303.61,-7.83,0.0,295.78000000000003,2.9393939393948774,1.0814300000000001,-1,DOL,0.0
18,EURUSD,short,1722431020,1722431300,1.08397,1.08429,1.08303,3.33,sl_hit,-106.56,-8.33,0.0,-114.89,-1.0,1.08303,1,DOL,0.0
19,EURUSD,long,1722518920,1722525280,1.07916,1.07868,1.08232,2.17,sl_hit,-104.16,-5.43,0.0,-109.59,-1.0,1.08232,-1,DOL,0.0
20,EURUSD,short,1722603820,1722604000,1.08873,1.08916,1.08153,2.38,sl_hit,-102.34,-5.95,0.0,-108.29,-1.0,1.07951,1,DOL,0.0
21,EURUSD,short,1722863080,1722864040,1.09896,1.09954,1.09751,1.77,sl_hit,-102.66,-4.43,0.0,-107.09,-1.0,1.09312,1,DOL,0.0
22,EURUSD,short,1723042540,1723042900,1.09306,1.09344,1.09304,2.66,sl_hit,-101.08,-6.65,0.0,-107.73,-1.0,1.0928,1,DOL,0.0
23,EURUSD,long,1723208720,1723208860,1.09122,1.09094,1.09129,3.59,tp_hit,25.13,-8.98,0.0,16.15,0.25,1.09115,-1,DOL,0.0
24,EURUSD,short,1723470580,1723470640,1.09291,1.09337,1.09285,2.15,tp_hit,12.9,-5.38,0.0,7.5200000000000005,0.13043478260861172,1.09231,1,DOL,0.0
25,EURUSD,short,1723554460,1723555240,1.09401,1.09449,1.09385,2.1,sl_hit,-100.8,-5.25,0.0,-106.05,-1.0,1.09385,1,DOL,0.0
26,EURUSD,short,1723816000,1723816180,1.10009,1.10034,1.09897,4.02,sl_hit,-100.5,-10.05,0.0,-110.55,-1.0,1.09825,1,DOL,0.0
27,EURUSD,long,1724073260,1724073380,1.10329,1.10299,1.10355,3.29,tp_hit,85.54,-8.23,0.0,77.31,0.8666666666658772,1.10355,-1,DOL,0.0
28,EURUSD,short,1724159380,1724159560,1.1096,1.10988,1.10888,3.57,sl_hit,-99.96,-8.93,0.0,-108.88999999999999,-1.0,1.10872,1,DOL,0.0
29,EURUSD,long,1724248000,1724248040,1.11156,1.11109,1.11171,2.07,tp_hit,31.05,-5.18,0.0,25.87,0.3191489361698107,1.11171,-1,DOL,0.0
30,EURUSD,long,1724333500,1724333720,1.11356,1.11323,1.11404,2.9699999999999998,sl_hit,-98.01,-7.43,0.0,-105.44,-1.0,1.11404,-1,DOL,0.0
31,EURUSD,long,1724418640,1724418680,1.11122,1.11087,1.11123,2.75,tp_hit,2.75,-6.88,0.0,-4.13,0.02857142857097542,1.11129,-1,DOL,0.0
32,EURUSD,long,1724678500,1724683240,1.11534,1.11496,1.11757,2.52,tp_hit,561.96,-6.3,0.0,555.6600000000001,5.868421052630733,1.11816,-1,DOL,0.0
33,EURUSD,long,1724763740,1724763760,1.1160700000000001,1.11575,1.11612,3.21,tp_hit,16.05,-8.03,0.0,8.020000000000001,0.156249999999588,0.0,0,DOL,0.0
34,EURUSD,long,1724937460,1724938420,1.1084,1.10804,1.11241,2.86,sl_hit,-102.96,-7.15,0.0,-110.11,-1.0,1.11241,-1,DOL,0.0
35,EURUSD,long,1725024040,1725025960,1.10592,1.10532,1.10697,1.67,tp_hit,175.35,-4.18,0.0,171.17,1.750000000000185,1.10697,-1,DOL,0.0
36,EURUSD,short,1725282760,1725304060,1.10691,1.10722,1.10559,3.25,sl_hit,-100.75,-8.13,0.0,-108.88,-1.0,1.10559,1,DOL,0.0
37,EURUSD,short,1725456160,1725456880,1.1055,1.10573,1.10467,4.46,sl_hit,-102.58,-11.15,0.0,-113.73,-1.0,1.1056300000000001,1,DOL,0.0
