entry_t,exit_t,R,instr
2025-09-23 11:00:00,2025-09-24 18:00:00,-1.0,XAUUSD
2025-09-25 07:00:00,2025-09-26 17:00:00,-1.0,XAUUSD
2025-09-22 08:00:00,2025-09-30 08:00:00,-1.0,BTCUSD
2025-09-30 08:00:00,2025-10-02 20:00:00,3.0,BTCUSD
2025-09-29 07:00:00,2025-10-06 02:00:00,3.0,XAUUSD
2025-10-06 07:00:00,2025-10-08 12:00:00,3.0,XAUUSD
2025-10-08 12:00:00,2025-10-09 01:00:00,-1.0,XAUUSD
2025-10-09 15:00:00,2025-10-09 17:00:00,-1.0,XAUUSD
2025-10-04 12:00:00,2025-10-10 16:00:00,-1.0,BTCUSD
2025-10-13 07:00:00,2025-10-16 04:00:00,3.0,XAUUSD
2025-10-16 07:00:00,2025-10-17 01:00:00,3.0,XAUUSD
2025-10-17 09:00:00,2025-10-17 16:00:00,-1.0,XAUUSD
2025-10-21 07:00:00,2025-10-21 11:00:00,-1.0,XAUUSD
2025-10-11 08:00:00,2025-10-25 12:00:00,-1.0,BTCUSD
2025-10-22 09:00:00,2025-10-29 14:00:00,1.0,XAUUSD
2025-10-29 14:00:00,2025-10-29 20:00:00,-1.0,XAUUSD
2025-10-25 12:00:00,2025-10-30 04:00:00,-1.0,BTCUSD
2025-10-31 07:00:00,2025-11-04 16:00:00,-1.0,XAUUSD
2025-11-05 07:00:00,2025-11-06 10:00:00,-1.0,XAUUSD
2025-11-06 10:00:00,2025-11-06 17:00:00,-1.0,XAUUSD
2025-11-07 12:00:00,2025-11-10 15:00:00,3.0,XAUUSD
2025-10-30 16:00:00,2025-11-11 08:00:00,1.0,BTCUSD
2025-11-10 15:00:00,2025-11-12 19:00:00,3.0,XAUUSD
2025-11-11 08:00:00,2025-11-12 20:00:00,-1.0,BTCUSD
2025-11-13 07:00:00,2025-11-13 20:00:00,-1.0,XAUUSD
2025-11-14 15:00:00,2025-11-19 12:00:00,-1.0,XAUUSD
2025-11-19 12:00:00,2025-11-19 19:00:00,-1.0,XAUUSD
2025-11-15 12:00:00,2025-11-21 12:00:00,3.0,BTCUSD
2025-11-21 12:00:00,2025-11-21 18:00:00,-1.0,XAUUSD
2025-11-21 12:00:00,2025-11-26 20:00:00,-1.0,BTCUSD
2025-11-27 16:00:00,2025-12-01 00:00:00,-1.0,BTCUSD
2025-12-02 08:00:00,2025-12-02 16:00:00,-1.0,BTCUSD
