symbol,target_type,window,flags,n,settle_rate,win_rate,pf,total_pips,avg_pips,avg_settle_h,med_settle_h,avg_rr,med_rr,avg_dist,pct_timeout
EURUSD,offset,offset_05:00,H4+CLU|1:2,151,72.8,76.2,3.1,2224.0,14.7,5.9,3.8,0.25,0.5,31.1,21.2
EURUSD,offset,offset_05:00,H4+CLU+LLR|1:1.5,102,70.6,75.5,3.1,1508.0,14.8,6.8,4.2,0.33,0.67,32.5,20.6
EURUSD,offset,offset_06:00,H4+LLR|1:1.5,316,75.9,77.2,3.1,2735.0,8.7,3.6,2.2,0.31,0.67,17.3,6.3
EURUSD,offset,offset_08:00,H4+CLU|1:1,183,68.9,71.0,3.1,2566.0,14.0,5.5,4.1,0.44,1.0,29.9,8.2
EURUSD,offset,offset_09:00,RAW|1:1,778,68.3,69.3,3.1,6030.0,7.8,3.4,2.0,0.39,1.0,16.0,3.0
EURUSD,offset,offset_05:00,H4|1:1.5,432,75.5,76.9,3.09,3404.0,7.9,2.8,1.0,0.31,0.67,16.0,6.7
EURUSD,offset,offset_09:00,RAW|tier,778,81.9,83.0,3.09,6619.0,8.5,3.6,2.0,0.18,0.33,16.0,9.0
EURUSD,offset,offset_06:00,EMA|1:1.5,315,74.9,75.2,3.07,2187.0,6.9,2.4,1.0,0.26,0.67,13.0,2.2
EURUSD,offset,offset_08:00,H4+LLR|tier,321,83.5,85.0,3.07,2923.0,9.1,3.7,2.1,0.21,0.33,17.5,9.0
EURUSD,offset,offset_06:00,EMA+CLU+LLR|1:1,61,68.9,68.9,3.06,929.0,15.2,5.4,3.8,0.41,1.0,31.4,4.9
EURUSD,offset,offset_08:00,EMA+LLR|1:1,250,66.8,67.2,3.06,1719.0,6.9,2.5,1.0,0.35,1.0,14.0,1.6
EURUSD,offset,offset_09:00,RAW|1:1.5,778,74.0,75.2,3.06,6297.0,8.1,3.5,2.0,0.28,0.67,16.0,5.5
EURUSD,offset,offset_07:00,H4+LLR|tier,315,82.9,84.1,3.05,2846.0,9.0,3.7,2.0,0.19,0.33,17.5,8.3
EURUSD,offset,offset_09:00,RAW|1:2,778,77.4,78.5,3.05,6438.0,8.3,3.6,2.0,0.21,0.5,16.0,7.2
EURUSD,offset,offset_07:00,RAW|1:1.5,778,76.3,77.2,3.04,6080.0,7.8,3.4,1.5,0.31,0.67,15.6,5.0
EURUSD,offset,offset_07:00,EMA+LLR|tier,243,84.0,84.4,3.04,1856.0,7.6,2.7,1.0,0.17,0.33,13.7,4.1
EURUSD,offset,offset_03:00,EMA+H4|1:1.5,201,75.6,76.6,3.03,1145.0,5.7,1.6,0.2,0.29,0.67,11.1,3.0
EURUSD,offset,offset_05:00,H4+CLU|tier,151,73.5,76.8,3.03,2211.0,14.6,6.0,3.8,0.2,0.33,31.1,21.9
EURUSD,offset,offset_06:00,H4+CLU|tier,167,74.3,76.0,3.03,2456.0,14.7,6.1,4.1,0.2,0.33,30.5,21.0
EURUSD,offset,offset_04:00,EMA+H4+LLR|1:1.5,172,75.0,75.6,3.02,1134.0,6.6,1.6,0.2,0.27,0.67,12.9,2.9
EURUSD,offset,offset_07:00,RAW|1:2,778,80.2,81.1,3.02,6202.0,8.0,3.4,1.2,0.25,0.5,15.6,6.3
EURUSD,offset,offset_08:00,H4+CLU|tier,183,74.9,77.6,3.02,2679.0,14.6,6.2,4.5,0.2,0.33,29.9,20.2
EURUSD,offset,offset_05:00,EMA|tier,310,84.2,84.8,3.01,2085.0,6.7,2.2,0.2,0.17,0.33,12.2,3.9
EURUSD,offset,offset_07:00,LLR|1:2,566,80.6,81.6,3.01,4491.0,7.9,3.8,1.8,0.26,0.5,15.7,6.7
EURUSD,offset,offset_09:00,LLR|1:2,565,77.0,78.4,3.01,4556.0,8.1,3.8,2.2,0.21,0.5,15.8,7.6
EURUSD,offset,offset_05:00,H4+CLU|1:1,151,70.2,72.8,3.0,2136.0,14.1,5.7,3.8,0.48,1.0,31.1,9.3
EURUSD,offset,offset_06:00,EMA+CLU+LLR|tier,61,77.0,77.0,3.0,981.0,16.1,6.2,4.2,0.2,0.33,31.4,16.4
EURUSD,offset,offset_03:00,EMA+H4+LLR|1:1.5,159,74.8,76.1,2.99,938.0,5.9,1.7,0.2,0.28,0.67,11.7,3.8
EURUSD,offset,offset_04:00,EMA+H4+CLU|1:1,50,66.0,66.0,2.99,715.0,14.3,3.8,3.0,0.36,1.0,30.6,6.0
EURUSD,offset,offset_07:00,CLU|1:1.5,282,74.1,76.6,2.99,3817.0,13.5,6.5,4.8,0.33,0.67,28.2,12.4
EURUSD,offset,offset_03:00,EMA+H4+LLR|tier,159,82.4,83.6,2.98,989.0,6.2,2.1,0.2,0.15,0.33,11.7,5.0
EURUSD,offset,offset_05:00,H4|1:1,432,68.8,69.9,2.98,3204.0,7.4,2.7,1.2,0.41,1.0,16.0,3.7
EURUSD,offset,offset_06:00,EMA|1:2,315,80.6,81.0,2.98,2225.0,7.1,2.6,1.0,0.23,0.5,13.0,2.5
EURUSD,offset,offset_07:00,H4+CLU+LLR|1:1,128,69.5,71.9,2.98,1773.0,13.8,5.7,4.8,0.46,1.0,30.4,9.4
