trade_id,symbol,dir,ts_open_utc,ts_close_utc,entry,sl,tp,lots,exit_reason,gross_pnl,commission,swap,net_pnl,r_multiple,swept_level,sweep_side,target_mode,fill_depth
1,XAUUSD,long,1711979680,1711980040,2243.15,2238.99,2251.47,0.24,sl_hit,-99.84,-0.38,0.0,-100.22,-1.0,2243.86,-1,RR,0.0
2,XAUUSD,short,1712066320,1712066620,2264.11,2266.97,2258.38,0.34,sl_hit,-97.24,-0.54,0.0,-97.78,-1.0,2262.79,1,RR,0.0
3,XAUUSD,long,1712236480,1712239000,2287.27,2285.0,2291.81,0.43,sl_hit,-97.61,-0.69,0.0,-98.3,-1.0,2291.07,-1,RR,0.0
4,XAUUSD,short,1712323400,1712325040,2296.51,2299.59,2290.34,0.31,sl_hit,-95.48,-0.5,0.0,-95.98,-1.0,2291.76,1,RR,0.0
5,XAUUSD,short,1712670460,1712671960,2357.37,2361.25,2349.61,0.24,sl_hit,-93.12,-0.4,0.0,-93.52000000000001,-1.0,2359.23,1,RR,0.0
6,XAUUSD,long,1712754520,1712754760,2333.61,2328.46,2343.9,0.18,sl_hit,-92.7,-0.29,0.0,-92.99000000000001,-1.0,2344.74,-1,RR,0.0
7,XAUUSD,short,1712844220,1712845000,2345.11,2347.62,2340.08,0.37,tp_hit,186.11,-0.61,0.0,185.5,2.0039840637452886,2346.84,1,RR,0.0
8,XAUUSD,short,1712930560,1712930620,2402.46,2406.79,2393.79,0.22,sl_hit,-95.26,-0.37,0.0,-95.63000000000001,-1.0,2400.61,1,RR,0.0
9,XAUUSD,long,1713189280,1713189880,2345.21,2342.87,2349.9,0.4,sl_hit,-93.6,-0.66,0.0,-94.25999999999999,-1.0,2344.75,-1,RR,0.0
10,XAUUSD,short,1713361780,1713361880,2393.08,2394.8,2389.63,0.54,sl_hit,-92.88,-0.91,0.0,-93.78999999999999,-1.0,2393.61,1,RR,0.0
11,XAUUSD,long,1713532840,1713536180,2377.64,2372.81,2387.3,0.19,tp_hit,183.54,-0.32,0.0,183.22,2.000000000000094,2373.74,-1,RR,0.0
12,XAUUSD,long,1713791200,1713792560,2338.18,2334.95,2344.65,0.29,sl_hit,-93.67,-0.47,0.0,-94.14,-1.0,2351.44,-1,RR,0.0
13,XAUUSD,short,1713971420,1713973120,2333.87,2337.51,2326.58,0.25,tp_hit,182.25,-0.41,0.0,181.84,2.0027472527470627,2331.28,1,RR,0.0
14,XAUUSD,short,1714055560,1714055579,2328.7,2331.45,2323.19,0.34,sl_hit,-93.5,-0.55,0.0,-94.05,-1.0,0.0,0,RR,0.0
15,XAUUSD,short,1714137460,1714138180,2347.64,2350.58,2341.76,0.32,tp_hit,188.16,-0.52,0.0,187.64,1.9999999999998452,2350.13,1,RR,0.0
16,XAUUSD,long,1714482160,1714482340,2306.79,2305.44,2309.48,0.71,sl_hit,-95.85,-1.15,0.0,-97.0,-1.0,2310.69,-1,RR,0.0
17,XAUUSD,short,1714568860,1714569640,2297.49,2298.62,2295.23,0.84,sl_hit,-94.92,-1.35,0.0,-96.27,-1.0,2292.86,1,RR,0.0
18,XAUUSD,long,1714655140,1714655200,2293.82,2292.22,2297.02,0.59,sl_hit,-94.4,-0.95,0.0,-95.35000000000001,-1.0,2303.09,-1,RR,0.0
19,XAUUSD,short,1714742180,1714743100,2305.68,2309.16,2298.71,0.26,tp_hit,181.22,-0.42,0.0,180.8,2.0028735632183228,2306.35,1,RR,0.0
20,XAUUSD,short,1715000620,1715000680,2323.2,2325.22,2319.17,0.47,sl_hit,-94.94,-0.76,0.0,-95.7,-1.0,2324.19,1,RR,0.0
21,XAUUSD,short,1715259760,1715260240,2325.19,2326.89,2321.79,0.55,tp_hit,187.0,-0.89,0.0,186.11,2.0000000000002673,2317.05,1,RR,0.0
22,XAUUSD,long,1715609380,1715612620,2342.5,2340.11,2347.28,0.4,sl_hit,-95.6,-0.66,0.0,-96.25999999999999,-1.0,2341.62,-1,RR,0.0
23,XAUUSD,short,1715693080,1715695120,2348.05,2352.76,2338.63,0.2,sl_hit,-94.2,-0.33,0.0,-94.53,-1.0,2345.24,1,RR,0.0
24,XAUUSD,short,1715785240,1715785280,2374.17,2375.72,2371.07,0.61,sl_hit,-94.55,-1.01,0.0,-95.56,-1.0,2374.25,1,RR,0.0
25,XAUUSD,long,1715864860,1715865460,2378.7,2376.57,2382.96,0.43,sl_hit,-91.59,-0.72,0.0,-92.31,-1.0,2384.75,-1,RR,0.0
