trade_id,symbol,dir,ts_open_utc,ts_close_utc,entry,sl,tp,lots,exit_reason,gross_pnl,commission,swap,net_pnl,r_multiple,swept_level,sweep_side,target_mode,fill_depth
1,XAUUSD,short,1719839240,1719841060,2327.68,2329.63,2323.77,0.51,sl_hit,-99.45,-0.83,0.0,-100.28,-1.0,2328.98,1,RR,0.0
2,XAUUSD,short,1719928480,1719928840,2334.87,2336.95,2330.71,0.47,tp_hit,195.52,-0.77,0.0,194.75,2.0,2334.29,1,RR,0.0
3,XAUUSD,short,1720011760,1720012180,2349.07,2351.11,2344.99,0.49,sl_hit,-99.96,-0.81,0.0,-100.77,-1.0,2347.53,1,RR,0.0
4,XAUUSD,short,1720186360,1720186540,2377.73,2380.27,2372.65,0.39,sl_hit,-99.06,-0.65,0.0,-99.71000000000001,-1.0,2368.05,1,RR,0.0
5,XAUUSD,long,1720443940,1720446580,2373.87,2370.91,2379.79,0.33,sl_hit,-97.68,-0.55,0.0,-98.23,-1.0,2371.89,-1,RR,0.0
6,XAUUSD,short,1720533740,1720537060,2366.68,2371.63,2356.79,0.19,tp_hit,187.91,-0.31,0.0,187.6,1.997979797979662,2367.96,1,RR,0.0
7,XAUUSD,short,1720616860,1720617140,2377.86,2378.97,2375.63,0.89,sl_hit,-98.79,-1.48,0.0,-100.27000000000001,-1.0,2374.9,1,RR,0.0
8,XAUUSD,short,1720703140,1720704220,2405.4,2409.32,2397.56,0.25,sl_hit,-98.0,-0.42,0.0,-98.42,-1.0,2384.06,1,RR,0.0
9,XAUUSD,long,1720789360,1720789379,2398.46,2397.71,2399.96,1.3,sl_hit,-97.5,-2.18,0.0,-99.68,-1.0,0.0,0,RR,0.0
10,XAUUSD,short,1721049340,1721049640,2413.65,2415.5,2409.95,0.52,sl_hit,-96.2,-0.88,0.0,-97.08,-1.0,2412.04,1,RR,0.0
11,XAUUSD,short,1721136940,1721136980,2437.78,2439.6,2434.15,0.52,sl_hit,-94.64,-0.89,0.0,-95.53,-1.0,2439.3,1,RR,0.0
12,XAUUSD,long,1721400700,1721401840,2398.4,2393.56,2408.08,0.19,tp_hit,183.92,-0.32,0.0,183.6,1.999999999999906,2412.93,-1,RR,0.0
13,XAUUSD,long,1721655460,1721655479,2394.91,2394.0,2396.74,1.05,sl_hit,-95.55,-1.76,0.0,-97.31,-1.0,0.0,0,RR,0.0
14,XAUUSD,short,1721745160,1721755480,2405.91,2407.77,2402.2,0.51,sl_hit,-94.86,-0.86,0.0,-95.72,-1.0,2407.05,1,RR,0.0
15,XAUUSD,short,1721826400,1721827100,2420.82,2423.11,2416.25,0.41,tp_hit,187.37,-0.69,0.0,186.68,1.995633187773029,2419.14,1,RR,0.0
16,XAUUSD,long,1721915200,1721915500,2368.93,2364.15,2378.49,0.2,sl_hit,-95.6,-0.33,0.0,-95.92999999999999,-1.0,2365.8,-1,RR,0.0
17,XAUUSD,short,1721999980,1722000280,2377.68,2379.72,2373.61,0.46,sl_hit,-93.84,-0.77,0.0,-94.61,-1.0,2379.33,1,RR,0.0
18,XAUUSD,long,1722265120,1722266020,2381.07,2379.87,2383.48,0.78,sl_hit,-93.6,-1.3,0.0,-94.89999999999999,-1.0,2386.92,-1,RR,0.0
19,XAUUSD,short,1722345820,1722346120,2392.19,2395.01,2386.55,0.33,sl_hit,-93.06,-0.55,0.0,-93.61,-1.0,2391.99,1,RR,0.0
20,XAUUSD,short,1722433960,1722434140,2424.61,2427.0,2419.83,0.38,sl_hit,-90.82,-0.65,0.0,-91.47,-1.0,2425.5,1,RR,0.0
21,XAUUSD,short,1722605560,1722609100,2469.92,2474.59,2460.58,0.19,tp_hit,177.46,-0.33,0.0,177.13,2.0,2468.42,1,RR,0.0
22,XAUUSD,long,1722949420,1722949540,2396.06,2392.73,2402.72,0.28,sl_hit,-93.24,-0.47,0.0,-93.71,-1.0,2394.82,-1,RR,0.0
23,XAUUSD,short,1723035760,1723036060,2402.93,2404.01,2400.77,0.85,sl_hit,-91.8,-1.43,0.0,-93.23,-1.0,2397.53,1,RR,0.0
24,XAUUSD,short,1723122560,1723123600,2406.35,2408.79,2401.48,0.37,sl_hit,-90.28,-0.62,0.0,-90.9,-1.0,2400.7,1,RR,0.0
25,XAUUSD,short,1723208920,1723209340,2428.74,2430.72,2424.78,0.45,sl_hit,-89.1,-0.77,0.0,-89.86999999999999,-1.0,2428.91,1,RR,0.0
26,XAUUSD,short,1723468360,1723468379,2444.25,2444.88,2443.0,1.43,sl_hit,-90.09,-2.45,0.0,-92.54,-1.0,0.0,0,RR,0.0
27,XAUUSD,long,1723642000,1723646080,2453.58,2449.14,2462.47,0.2,sl_hit,-88.8,-0.34,0.0,-89.14,-1.0,2455.35,-1,RR,0.0
28,XAUUSD,long,1723730020,1723730440,2436.54,2431.75,2446.12,0.18,tp_hit,172.44,-0.31,0.0,172.13,2.0,2448.22,-1,RR,0.0
29,XAUUSD,short,1723813480,1723815520,2488.62,2492.83,2480.19,0.21,sl_hit,-88.41,-0.37,0.0,-88.78,-1.0,2464.43,1,RR,0.0
30,XAUUSD,long,1724074120,1724074600,2489.55,2487.25,2494.14,0.38,sl_hit,-87.4,-0.66,0.0,-88.06,-1.0,2494.96,-1,RR,0.0
31,XAUUSD,long,1724247520,1724247820,2504.83,2501.41,2511.68,0.25,sl_hit,-85.5,-0.44,0.0,-85.94,-1.0,2506.92,-1,RR,0.0
32,XAUUSD,long,1724332060,1724332079,2500.07,2498.44,2503.33,0.53,sl_hit,-86.39,-0.93,0.0,-87.32000000000001,-1.0,0.0,0,RR,0.0
33,XAUUSD,short,1724678080,1724678840,2525.46,2526.54,2523.29,0.79,sl_hit,-85.32,-1.4,0.0,-86.72,-1.0,2525.73,1,RR,0.0
34,XAUUSD,short,1724769040,1724772160,2516.56,2518.26,2513.17,0.5,sl_hit,-85.0,-0.88,0.0,-85.88,-1.0,2517.53,1,RR,0.0
35,XAUUSD,long,1724852440,1724852459,2500.83,2499.88,2502.73,0.88,sl_hit,-83.6,-1.54,0.0,-85.14,-1.0,0.0,0,RR,0.0
36,XAUUSD,long,1725027340,1725028180,2516.15,2511.14,2526.17,0.16,sl_hit,-80.16,-0.28,0.0,-80.44,-1.0,2512.24,-1,RR,0.0
37,XAUUSD,long,1725372040,1725373180,2479.4,2475.2,2487.81,0.19,sl_hit,-79.8,-0.33,0.0,-80.13,-1.0,2489.79,-1,RR,0.0
38,XAUUSD,short,1725460340,1725461380,2494.96,2499.76,2485.37,0.17,sl_hit,-81.6,-0.3,0.0,-81.89999999999999,-1.0,2496.84,1,RR,0.0
39,XAUUSD,short,1725542320,1725542980,2516.78,2518.77,2512.79,0.4,sl_hit,-79.6,-0.71,0.0,-80.30999999999999,-1.0,2516.65,1,RR,0.0
40,XAUUSD,short,1725973540,1725974920,2513.37,2515.31,2509.48,0.41,sl_hit,-79.54,-0.72,0.0,-80.26,-1.0,2507.68,1,RR,0.0
41,XAUUSD,long,1726061380,1726061500,2508.77,2504.71,2516.89,0.19,sl_hit,-77.14,-0.33,0.0,-77.47,-1.0,2514.92,-1,RR,0.0
42,XAUUSD,short,1726232680,1726232740,2574.61,2576.22,2571.4,0.49,sl_hit,-78.89,-0.88,0.0,-79.77,-1.0,2571.04,1,RR,0.0
43,XAUUSD,long,1726496860,1726496920,2579.84,2577.9,2583.73,0.4,sl_hit,-77.6,-0.72,0.0,-78.32,-1.0,2578.84,-1,RR,0.0
44,XAUUSD,long,1726579060,1726579600,2576.81,2575.39,2579.65,0.54,sl_hit,-76.68,-0.97,0.0,-77.65,-1.0,2576.76,-1,RR,0.0
45,XAUUSD,short,1726665280,1726666220,2577.5,2578.55,2575.4,0.72,sl_hit,-75.6,-1.3,0.0,-76.89999999999999,-1.0,2576.41,1,RR,0.0
46,XAUUSD,short,1726837480,1726837720,2614.98,2616.66,2611.62,0.44,tp_hit,147.84,-0.8,0.0,147.04,2.000000000000271,2612.66,1,RR,0.0
47,XAUUSD,short,1727099260,1727099480,2627.42,2632.46,2617.35,0.15,sl_hit,-75.6,-0.28,0.0,-75.88,-1.0,2631.08,1,RR,0.0
48,XAUUSD,short,1727183920,1727184280,2634.47,2636.87,2629.67,0.31,sl_hit,-74.4,-0.57,0.0,-74.97,-1.0,2636.05,1,RR,0.0
49,XAUUSD,long,1727447980,1727448520,2660.28,2657.49,2665.86,0.27,sl_hit,-75.33,-0.5,0.0,-75.83,-1.0,2660.95,-1,RR,0.0
50,XAUUSD,long,1727701660,1727701900,2639.5,2637.67,2643.16,0.4,sl_hit,-73.2,-0.74,0.0,-73.94,-1.0,2647.39,-1,RR,0.0
